fid;PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y
20;26;Datacenter Fryslan;Archimedesweg;3;Leeuwarden;8912 AK;1;Klein;<200;<0,5;0,9-4,4;0,6-3;<1,2;20-25;(4) uitkoppeling pas mogelijk na een grote investering;179959;578499
21;27;Datacenter Fryslan;Francois Haverschmidtwei;3;Leeuwarden;8914 BC;2;Klein;200-1000;<0,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;180224;579854
22;28;Datacenter Groningen;Beneluxweg;4;Zuidbroek;9636 HV;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;253805;576605
23;2;Atom86;Boeing Avenue;271;Schiphol-Rijk;1119 PD;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;111566;476520
24;29;Datacenter Noordholland;Professor van der Waalstraat;1;Alkmaar;1821 BT;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;113242;515529
25;30;DataOne;Bruynvisweg;11;Wormer;1531 AX;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;114959;500964
26;31;Dataplace;Van Coulsterweg;6;Alblasserdam;2952 CB;3;Klein;1000-2000;2,5-5;8,8-22;6-15;12-30;20-25;(3) uitkoppeling van warmte vraagt enige investering;106208;428826
27;32;Dataplace;Tivolilaan;251;Arnhem;6824 BV;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(3) uitkoppeling van warmte vraagt enige investering;192561;444435
28;33;Dataplace;Koningin Wilhelminaweg;471;Groenekan;3737 BE;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;12-30;20-25;(3) uitkoppeling van warmte vraagt enige investering;138344;459472
29;34;Dataplace;Parellaan;9;Hoofddorp;2132 WS;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(3) uitkoppeling van warmte vraagt enige investering;107236;478274
30;35;Dataplace;Drukkerij;6;Steenbergen;4651 SL;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(3) uitkoppeling van warmte vraagt enige investering;80006;400404
31;36;Dataplace;Gragtmansstraat;1B;Waalwijk;5145 RA;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(3) uitkoppeling van warmte vraagt enige investering;130884;411935
32;37;Interxion;Gyroscoopweg;58;Amsterdam;1042 AC;2;Klein;200-1000;<0,5;<0,9;<0,6;1,2-6;onbekend;(4) uitkoppeling pas mogelijk na een grote investering;117950;490363
