fid;P50
1346;2.161565
1347;1.969022
1348;1.882533
1349;1.786093
1350;1.859328
1351;1.720877
1352;1.624233
1353;1.488091
1354;1.444594
1355;1.455734
1356;1.385186
1357;1.172585
1358;1.224552
1359;1.316857
1360;1.374553
1361;1.549217
1362;1.396551
1363;1.313425
1364;1.173398
1365;0.996139
1366;0.845093
1367;0.813102
1368;0.751657
1369;0.663714
1370;0.687297
1371;0.794803
1372;0.978879
1373;1.15559
1374;1.315779
1375;1.33707
1376;1.313563
1377;1.177825
1378;1.056857
1379;1.13462
1380;1.783232
1381;1.672843
1382;0.797143
1383;0.444287
1384;0.166419
1385;0.366852
1386;0.071604
1387;0.591822
1388;1.14037
1389;1.654094
1390;1.900967
1391;2.671474
1392;2.74485
1393;1.880865
1394;1.886014
1395;2.026792
1396;2.218684
1397;2.385898
1398;2.536514
1399;2.37007
1400;2.110175
1401;1.6922
1402;1.451162
1403;1.240536
1404;1.112368
1405;1.308602
1406;2.749877
1407;6.124668
1408;8.568224
1409;11.89359
1410;15.16592
1411;18.994959
1412;21.073898
1413;22.052454
1414;21.91333
1415;23.821388
1416;25.426603
1417;25.627426
1418;26.044104
1419;26.896074
1420;25.646648
1421;24.55393
1422;24.476471
1423;23.687006
1424;22.358133
1425;20.659159
1426;17.885117
1427;16.748409
1428;13.707987
1429;5.927156
1430;8.159469
1431;11.444211
1432;0.741536
1433;0.647156
1434;0.594123
1435;0.531266
1436;0.428125
1437;0.443056
1438;0.430113
1439;0.464944
1440;0.454489
1441;0.416787
1442;0.308603
1443;0.186832
1444;0.11449
1445;0.068409
1446;0.237735
1447;2.751556
1448;2.60885
1449;2.537891
1450;2.332299
1451;2.285374
1452;2.300207
1453;2.217693
1454;1.951002
1455;1.874372
1456;1.699163
1457;1.747087
1458;1.647056
1459;1.614269
1460;1.498868
1461;1.392536
1462;1.502002
1463;1.482784
1464;1.246886
1465;1.315272
1466;1.304377
1467;1.40226
1468;1.448619
1469;1.470456
1470;1.370737
1471;1.222145
1472;1.03915
1473;0.907227
1474;0.788191
1475;0.764082
1476;0.735637
1477;0.782145
1478;0.818866
1479;1.003433
1480;1.218455
1481;1.404873
1482;1.454176
1483;1.35231
1484;1.204008
1485;1.06494
1486;1.039505
1487;1.026608
1488;1.038533
1489;0.890575
1490;0.403973
1491;0.037314
1492;0.241566
1493;0.250191
1494;0.470352
1495;1.109938
1496;2.007318
1497;4.024001
1498;5.939772
1499;5.574055
1500;2.713421
1501;1.804465
1502;1.978524
1503;2.155576
1504;2.354799
1505;2.358231
1506;2.30078
1507;2.07738
1508;1.584694
1509;1.310154
1510;1.037149
1511;1.025806
1512;1.117783
1513;2.100145
1514;6.45818
1515;9.075643
1516;12.314539
1517;16.003653
1518;20.247786
1519;22.113192
1520;22.704781
1521;22.939388
1522;24.47875
1523;26.392633
1524;26.461824
1525;27.2677
1526;26.974531
1527;26.272619
1528;25.105694
1529;24.772659
1530;24.745796
1531;23.707411
1532;21.353411
1533;18.611103
1534;16.848969
1535;12.057743
1536;0.870566
1537;0.824944
1538;7.200973
1539;8.727827
1540;0.594688
1541;0.537719
1542;0.452955
1543;0.436685
1544;0.46256
1545;0.431067
1546;0.478416
1547;0.484888
1548;0.473827
1549;0.444048
1550;0.370294
1551;4.048659
1552;2.558895
1553;2.574468
1554;2.311336
1555;2.448436
1556;2.352506
1557;1.912316
1558;2.158903
1559;2.063044
1560;2.064098
1561;2.189946
1562;2.126879
1563;2.034717
1564;1.972687
1565;2.025422
1566;1.819466
1567;1.690224
1568;1.78912
1569;1.715629
1570;1.805067
1571;1.58687
1572;1.517784
1573;1.708282
1574;1.642565
1575;1.726168
1576;1.6895
1577;1.69206
1578;1.708307
1579;1.764818
1580;1.744869
1581;1.771107
1582;1.813982
1583;1.840986
1584;1.794124
1585;1.649527
1586;1.822525
1587;1.738319
1588;1.562118
1589;1.445505
1590;1.432711
1591;1.250084
1592;1.086819
1593;0.944732
1594;0.802697
1595;1.348874
1596;1.337097
1597;1.230694
1598;0.738622
1599;0.539749
1600;0.578886
1601;0.688398
1602;0.867908
1603;0.99288
1604;0.645637
1605;0.024686
1606;0.245333
1607;0.640826
1608;0.842034
1609;2.255209
1610;3.475424
1611;4.535972
1612;2.477984
1613;2.067688
1614;1.830578
1615;8.966585
1616;2.364346
1617;2.88152
1618;2.839528
1619;2.482792
1620;2.450501
1621;2.431771
1622;2.386833
1623;4.345675
1624;2.111832
1625;4.537817
1626;7.818844
1627;5.739547
1628;5.444197
1629;5.68432
1630;6.58716
1631;7.389186
1632;10.207239
1633;14.150628
1634;18.845524
1635;23.366617
1636;26.326118
1637;27.926077
1638;29.396894
1639;30.637653
1640;33.504631
1641;32.926575
1642;33.068241
1643;30.211685
1644;16.73719
1645;0.324386
1646;7.785395
1647;0.461435
1648;0.343994
1649;0.173786
1650;0.035968
1651;0.21336
1652;0.478611
1653;4.357212
1654;4.250627
1655;2.655785
1656;2.440093
1657;2.440738
1658;2.201339
1659;2.365991
1660;1.748912
1661;1.907228
1662;1.931807
1663;1.874268
1664;1.904539
1665;1.901664
1666;1.863475
1667;1.892969
1668;1.887149
1669;1.831751
1670;1.774263
1671;1.683803
1672;1.570773
1673;1.705296
1674;1.60359
1675;1.527022
1676;1.581175
1677;1.580113
1678;1.683162
1679;1.686614
1680;1.733105
1681;1.694584
1682;1.74007
1683;1.702873
1684;1.6631
1685;1.788892
1686;1.792919
1687;1.794702
1688;1.735211
1689;1.861616
1690;1.812435
1691;2.267865
1692;2.189848
1693;2.062287
1694;1.775626
1695;1.054295
1696;0.974554
1697;0.796667
1698;0.997976
1699;1.290276
1700;1.148729
1701;0.660776
1702;0.669228
1703;0.676282
1704;0.72364
1705;0.911866
1706;0.996701
1707;0.854311
1708;0.306043
1709;0.101618
1710;0.831865
1711;1.576064
1712;2.380279
1713;2.960336
1714;5.156299
1715;2.687113
1716;2.305612
1717;1.980236
1718;11.423803
